Question,Option A,Option B,Option C,Option D,Correct Answer
What is the Polish city known to Germans as Danzig?,Zakopane,Gdańsk,Warsaw,Poznań,Gdańsk
What city is the Terracotta Army located in?,Xi'an,Shanghai,Hong Kong,Beijing,Xi'an
What is the capital of Senegal?,Dakar,Monrovia,Nouakchott,Conakry,Dakar
What is the capital of Indonesia?,Palembang,Bandung,Medan,Jakarta,Jakarta
What is the capital of the US State of New York?,New York,Buffalo,Albany,Rochester,Albany
Which of these cities has a 4° East longitude. ,Hong Kong,Rio de Janero,Amsterdam,Toronto,Amsterdam
Where is Hadrian's Wall located?,"Alexandria, Egypt","Dublin, Ireland","Rome, Italy","Carlisle, England","Carlisle, England"
What is the fifth largest country by area?,Australia,Brazil,India,United States,Brazil
What year is on the flag of the US state Wisconsin?,1634,1783,1848,1901,1848
All of the following are towns/villages in the Pacific Island nation of Kiribati EXCEPT:,London,Rungata,Washington,Urutora,Urutora
What is the name of the capital of Turkey?,Izmir,Istanbul,Ankara,Bursa,Ankara
"What is the largest country, by area, that has only one time zone?",China,Russia,Canada,India,China
In which city is the Big Nickel located in Canada?,"Sudbury, Ontario","Victoria, British Columbia","Halifax, Nova Scotia ","Calgary, Alberta","Sudbury, Ontario"
"What is the capital of British Columbia, Canada?",Vancouver,Victoria,Hope,Kelowna,Victoria
What tiny principality lies between Spain and France?,Monaco,Liechtenstein,Andorra,San Marino,Andorra
The World Health Organization headquarters is located in which European country?,United Kingdom,Belgium,France,Switzerland,Switzerland
Which US state has the highest population?,California,New York,Texas,Florida,California
Which Russian oblast forms a border with Poland?,Samara,Omsk,Nizhny Novgorod,Kaliningrad,Kaliningrad
How many federal states does Germany have?,16,13,32,25,16
Which UK country features a dragon on their flag?,North Ireland,England,Scotland,Wales,Wales
What country is the second largest in the world by area?,China,Canada,United States of America,Russia,Canada
The land of Gotland is located in which European country?,Sweden,Germany,Denmark,Norway,Sweden
The Space Needle is located in which city?,Los Angles,Vancouver,Seattle,Toronto,Seattle
What event led to Liechenstein adding a crown to its flag?,The 1936 Olympics,Signing of the 1862 Constitution of Liechtenstein,Coronation of Prince Johann I Joseph in 1805,Charles VI's decree in 1719,The 1936 Olympics
The Gambia is a nation found on which continent?,Asia,Europe,South America,Africa,Africa
How many counties in the Republic of Ireland.,30,26,28,32,26
What is the capital of Seychelles?,Tripoli,Victoria,N'Djamena,Luanda,Victoria
"What is the name of the formerly rich fishing grounds off the island of Newfoundland, Canada?",Mariana Trench,Hudson Bay,Grand Banks,Great Barrier Reef,Grand Banks
What is the longest river in Europe?,Thames,Volga,Danube,Rhine,Volga
What country has a horizontal bicolor red and white flag?,Monaco,Liechenstein,Malta,Bahrain,Monaco
Which of these is NOT a city in India?,Ahmedabad,Hyderabad,Ghaziabad,Islamabad,Islamabad
What is the busiest port in Europe?,Port of Amsterdam,Port of Antwerp,Port of Rotterdam,Port of Hamburg,Port of Rotterdam
"Which of these American cities has fewer than 1,000,000 people?","Philadelphia, Pennsylvania","San Francisco, California","Phoenix, Arizona","San Antonio, Texas","San Francisco, California"
Which is the world's longest river?,Missouri,Yangtze,Amazon,Nile,Nile
The following Spanish provinces are located in the northern area of Spain except:,Asturias,Murcia,Navarre,León,Murcia
The historical city Timbuktu is located in which West African country?,Niger,Senegal,Burkina Faso,Mali,Mali
"Which of the following European languages is classified as a ""language isolate?""",Basque,Maltese,Hungarian,Galician,Basque
Which of the following Japanese islands is the biggest?,Shikoku,Honshu,Kyushu,Hokkaido,Honshu
What European country is not a part of the EU?,Czechia,Norway,Ireland,Lithuania,Norway
Where are the Nazca Lines located?,Colombia,Brazil,Peru,Ecuador,Peru
Which of these is NOT an Australian state or territory?,Victoria,Queensland,Alberta,New South Wales,Alberta
What is the official language of Bhutan?,Groma,Ladakhi,Dzongkha,Karen,Dzongkha
Montreal is in which Canadian province?,Ontario,Alberta,Quebec,Nova Scotia,Quebec
How many timezones does Russia have?,16,6,24,11,11
The Alps are a mountain range on which continent?,North America,Europe,Asia,Africa,Europe
How many countries border Kyrgyzstan?,4,1,3,6,4
What colour is the circle on the Japanese flag?,Black,Yellow,White,Red,Red
Which area of Eastern Europe is famous for its association with vampires?,Transylvania,Macedonia,Slovakia,Silesia,Transylvania
The Hunua Ranges is located in...,Mexico,China,New Zealand,Nepal,New Zealand
How many sovereign states are members of the United Nations?,153,178,201,195,195
