Question,Option A,Option B,Option C,Option D,Correct Answer
"Which U.S. president took part in the Potsdam Conference, where the Allies reached a peace settlement with Germany?",Herbert Hoover,Franklin D. Roosevelt,Harry S. Truman,Dwight D. Eisenhower,Harry S. Truman
"What was the transfer of disease, crops, and people across the Atlantic shortly after the discovery of the Americas called?",Triangle Trade,The Columbian Exchange,Transatlantic Slave Trade,The Silk Road,The Columbian Exchange
Who was the leader of the Communist Party of Yugoslavia ?,Karadjordje Petrovic,Milos Obilic,Aleskandar Petrovic,Josip Broz Tito,Josip Broz Tito
Pol Pot was the former dictator of which country?,Vietnam,Laos,Cambodia,North Korea,Cambodia
"One of the deadliest pandemics, the ""Spanish Flu"", killed off what percentage of the human world population at the time?",3 to 6 percent,less than 1 percent,6 to 10 percent,1 to 3 percent,3 to 6 percent
In what year did the North American Video Game Crash occur?,1982,1983,1993,1970,1983
All of the following are names of the Seven Warring States EXCEPT:,Qi (齊),Qin (秦),Zhai (翟),Zhao (趙),Zhai (翟)
Which of the following ancient peoples was NOT classified as Hellenic (Greek)?,Achaeans,Illyrians,Dorians,Ionians,Illyrians
In which years did the Battle of Gallipoli take place?,1914 - 1918,1915 - 1918,1915 - 1916,1914 - 1915,1915 - 1916
What is the historical name of Sri Lanka?,Badulla,Ceylon,Colombo,Myanmar,Ceylon
When was Finland's 100th year of being independent?,2016,2018,2017,2015,2017
"In 1720, England was in massive debt and became involved in the South Sea Bubble. Who was the main mastermind behind it?",John Blunt,Daniel Defoe,John Churchill,Robert Harley,John Blunt
"In 1845, a series of wars named after which indigenous people began in New Zealand?",Aborigines,Polynesians,Papuans,Māori,Māori
When was the People's Republic of China founded?,"April 3, 1947","October 1, 1949","December 6, 1950","May 7, 1945","October 1, 1949"
Against which country did the Dutch Republic fight the Eighty Years' War?,Spain,England,Portugal,France,Spain
"John Moses Browning, the designer of the M1918 BAR (Browning Automatic Rifle) was a part of which religion?",Jewish,Catholic,Atheist,Mormon,Mormon
Which Apollo mission was the last one in NASA's Apollo program?,Apollo 15,Apollo 13,Apollo 17,Apollo 11,Apollo 17
Which of the following physicists did NOT work on the Manhattan project?,John Von-Neumann,Richard Feynman,Murray Gell-Mann,J. Robert Oppenheimer,Murray Gell-Mann
Which English king was married to Eleanor of Aquitaine?,Henry II,Henry V,Henry I,Richard I,Henry II
What year is considered to be the year that the British Empire ended?,1971,1997,1986,1981,1997
"Who invented the ""Flying Shuttle"" in 1738; one of the key developments in the industrialization of weaving?",Richard Arkwright,James Hargreaves,John Kay,John Deere,John Kay
Which country gifted the Statue of Liberty to the United States of America?,Spain,England,France,Germany,France
When did Vesuvius destroy the city of Pompeii? ,79 AD,54 BC,31 BC,62 AD,79 AD
Who was the first prime minister of Canada?,Robert Borden,John Abbott,Alexander Mackenzie,John Macdonald,John Macdonald
"When was the ""Siege of Leningrad"" lifted during World War II?",January 1944,March 1944,September 1943,November 1943,January 1944
"According to scholarly estimates, what percentage of the world population at the time died due to Tamerlane's conquests?",<1%,5%,3%,1%,5%
What date was the first flight of the P-40 Warhawk?,January 12 1940,October 14 1938,June 1 1939,August 21 1939,October 14 1938
How long did World War II last?,5 years,4 years,7 years,6 years,6 years
Who was the first wife of King Henry VIII?,Jane Seymour,Anne Boleyn,Anne of Cleves,Catherine of Aragon,Catherine of Aragon
Who discovered Penicillin?,Alfred Nobel,Louis Pasteur,Marie Curie,Alexander Flemming,Alexander Flemming
"Which building was set aflame on August 24th, 1812?",Grand National Assembly Building,Palace of the Nation,The White House,Parliament Building,The White House
Under which name was Rodrigo Borgia made Pope?,Rodrigo I,Alexander VI,Pius VII,John Paul II,Alexander VI
Who was the first American in space?,John Glenn,Alan Shephard,Jim Lovell,Neil Armstrong,Alan Shephard
"In World War I, what was the name of the alliance of Germany, Austria-Hungary, the Ottoman Empire, and Bulgaria?",The Federation of Empires,Authoritarian Alliance,The Central Powers,The Axis Powers,The Central Powers
When did Norway become free from Sweden?,1814,1925,1834,1905,1905
Bohdan Khmelnytsky was which of the following?,Grand Prince of Novgorod,General Secretary of the Communist Party of the USSR,Prince of Wallachia,Leader of the Ukrainian Cossacks,Leader of the Ukrainian Cossacks
What was Manfred von Richthofen's nickname?,The High Flying Ace,The Red Baron,The Germany Gunner,The Blue Serpent ,The Red Baron
Who was the first man to travel into outer space twice?,Vladimir Komarov,Gus Grissom,Charles Conrad,Yuri Gagarin,Gus Grissom
"When did L. L. Zamenhof first publish ""Unua Libro"", the first publication describing his international language Esperanto?",1915,1887,1905,1897,1887
How long did the Warsaw Uprising during World War II last?,55 Days,63 Days,20 Days,224 Days,63 Days
The Herero genocide was perpetrated in Africa by which of the following colonial nations?,Belgium,Germany,Britain,France,Germany
What year did World War I begin?,1919,1914,1925,1905,1914
The creator of the Enigma Cypher and Machine was of what nationality?,German,British,American,Polish,German
What historical event was Tchaikovsky's 1812 Overture referencing?,The Russian Revolution,The Napoleonic Wars,The American War of 1812,The Charge of the Light Brigade (Crimean War),The Napoleonic Wars
"When did the United States formally declare war on Japan, entering World War II?","June 6, 1944","September 1, 1939","December 8, 1941","June 22, 1941","December 8, 1941"
Which of the following countries was the first to send an object into space?,USA,Germany,Russia,China,Germany
During which American Civil War campaign did Union troops dig a tunnel beneath Confederate troops to detonate explosives underneath them?,Siege of Petersburg,Gettysburg Campagin,Antietam Campaign,Siege of Vicksburg,Siege of Petersburg
Which of these theoretical phycisists first predicted the existence of antimatter?,Niels Bohr,Paul Dirac,Werner Heisenberg,Albert Einstein,Paul Dirac
What was the code name for the German invasion of the Soviet Union in WW2?,Operation Unthinkable,Operation Barbarossa,Operation Kaiserschlact,Operation Molotov,Operation Barbarossa
When did the French Revolution begin?,May 06 1799,April 05 1789,May 05 1789,April 12 1789,May 05 1789
