Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following Grand Slam tennis tournaments occurs LAST?,French Open,Australian Open,Wimbledon,US Open,US Open
Which team won the 2015-16 English Premier League?,Manchester United,Liverpool,Cheslea,Leicester City,Leicester City
Who won the 2016 Formula 1 World Driver's Championship?,Nico Rosberg,Lewis Hamilton,Max Verstappen,Kimi Raikkonen,Nico Rosberg
Who was the first footballer to score 200 goals in the English Premier League?,Robbie Fowler,Thierry Henry,Alan Shearer,Wayne Rooney,Alan Shearer
Which of the following pitchers was named National League Rookie of the Year for the 2013 season?,Matt Harvey,Jacob deGrom,Jose Fernandez,Shelby Miller,Jose Fernandez
What team did England beat to win in the 1966 World Cup final?,Portugal,West Germany,Soviet Union,Brazil,West Germany
The AHL affiliate team of the Boston Bruins is named what?,New Haven Bruins,Providence Bruins,Cambridge Bruins,Hartford Bruins,Providence Bruins
Which two teams played in Super Bowl XLII?,The New York Giants & The New England Patriots,The Philadelphia Eagles & The New England Patriots,The Green Bay Packers & The Pittsburgh Steelers,The Seattle Seahawks & The Denver Broncos,The New York Giants & The New England Patriots
How many players are there in an association football/soccer team?,9,11,10,8,11
Which female player won the gold medal of table tennis singles in 2016 Olympics Games?,DING Ning (China),LI Xiaoxia (China),Song KIM (North Korea),Ai FUKUHARA (Japan),DING Ning (China)
"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",1-5,2-6,1-7,1-6,1-7
Which English football club has the nickname 'The Foxes'?,Bradford City,Leicester City,West Bromwich Albion,Northampton Town,Leicester City
Where was the Games of the XXII Olympiad held?,Tokyo,Barcelona,Moscow,Los Angeles,Moscow
"Prior to 2018, which car company is the only Japanese company which won the 24 Hours of Le Mans?",Nissan,Subaru,Mazda,Toyota,Mazda
Which NBA player has the most games played over the course of their career?,Robert Parish,Kevin Garnett,Kobe Bryant,Kareem Abdul-Jabbar,Robert Parish
What is the most common type of pitch thrown by pitchers in baseball?,Palmball,Screwball,Slowball,Fastball,Fastball
"Who is often called ""the Maestro"" in the men's tennis circuit?",Roger Federer,Bill Tilden,Pete Sampras,Boris Becker,Roger Federer
In what country were the 2014 Winter Olympics held in the town of Sochi?,Norway,Russia,South Korea,Canada,Russia
"Which Italian footballer told Neuer where he's putting his shot and dragging it wide, during the match Italy-Germany, UEFA EURO 2016?",Insigne,Barzagli,Pelle,Giaccherini,Pelle
"In Baseball, how many times does the ball have to be pitched outside of the strike zone before the batter is walked?",2,3,1,4,4
Which driver has been the Formula 1 world champion for a record 7 times?,Fernando Alonso,Michael Schumacher,Jim Clark,Ayrton Senna,Michael Schumacher
What was Sir Donald Bradman's batting average in test matches?,69.51,99.94,44.78,100,99.94
Which German sportswear company's logo is the 'Formstripe'?,Reebok,Adidas,Puma,Nike,Puma
Which nation hosted the FIFA World Cup in 2006?,United Kingdom,South Africa,Germany,Brazil,Germany
What is the nickname of Northampton town's rugby union club?,Saints,Saracens,Harlequins,Wasps,Saints
Who is Manchester United's top premier league goal scorer?,Sir Bobby Charlton,David Beckham,Wayne Rooney,Ryan Giggs,Wayne Rooney
"Who won the ""Champions League"" in 1999?",Manchester United,Bayern Munich,Barcelona,Liverpool,Manchester United
In what sport does Fanny Chmelar compete for Germany?,Swimming,Skiing,Gymnastics,Showjumping,Skiing
"This Canadian television sportscaster is known for his ""Hockey Night in Canada"" role, a commentary show during hockey games.",Don Cherry,Don Taylor ,Don McKellar,Donald Sutherland,Don Cherry
Hockey player Wayne Gretzky was born in what Canadian province?,Quebec,British Columbia,Alberta,Ontario,Ontario
What is Tiger Woods' all-time best career golf-score?,63,67,61,65,61
Who was the topscorer for England national football team?,David Beckham,Wayne Rooney,Michael Owen,Steven Gerrard,Wayne Rooney
How many points did LeBron James score in his first NBA game?,69,19,25,41,25
What tool lends it's name to a last-stone advantage in an end in Curling?,Hammer,Drill,Wrench,Screwdriver,Hammer
Which year did Jenson Button won his first ever Formula One World Drivers' Championship?,2010,2007,2009,2006,2009
Who was the British professional wrestler Shirley Crabtree better known as?,Masambula,Giant Haystacks,Kendo Nagasaki,Big Daddy,Big Daddy
"In Canadian football, scoring a rouge is worth how many points?",1,2,4,3,1
"In bowling, what is the term used for getting three consecutive strikes?",Turkey,Eagle,Flamingo,Birdie,Turkey
Which country won the 2018 FIFA World Cup hosted in Russia?,Croatia,France,England,Belgium,France
Which of these countries' national teams qualified for the 2018 FIFA World Cup in Russia?,Italy,Netherlands,United States of America,Tunisia,Tunisia
Which soccer team won the Copa América Centenario 2016?,Argentina,Chile,Brazil,Colombia,Chile
At which race was the 2018 F1 Drivers Championship won?,Abu Dhabi,Belgium,Mexico,United States,Mexico
Which of the following sports is not part of the triathlon?,Running,Horse-Riding,Swimming,Cycling,Horse-Riding
Which male player won the gold medal of table tennis singles in 2016 Olympics Games?,Jun Mizutani (Japan),Ma Long (China),Vladimir Samsonov (Belarus),Zhang Jike (China),Ma Long (China)
When was the FC Schalke 04 founded?,1904,1909,1999,2008,1904
Which country hosted the 2022 FIFA World Cup?,Japan,Switzerland,USA,Qatar,Qatar
