Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is NOT a passive electrical component?,Inductor,Capacitor,Resistor,Transistor,Transistor
What is the unit of electrical capacitance?,Watt,Gauss,Henry,Farad,Farad
The human heart has how many chambers?,6,4,3,2,4
Which of these chemical compounds is NOT found in gastric acid?,Sulfuric acid,Hydrochloric acid,Potassium chloride,Sodium chloride,Sulfuric acid
What is the standard SI unit for electric current?,Ampere,Volt,Ohm,Watt,Ampere
How many planets make up our Solar System?,9,8,6,7,8
The Sun consists of mostly which two elements?,Carbon & Nitrogen,Carbon & Helium,Hydrogen & Nitrogen,Hydrogen & Helium,Hydrogen & Helium
Alzheimer's disease primarily affects which part of the human body?,Heart,Brain,Skin,Lungs,Brain
The element involved in making human blood red is which of the following?,Cobalt,Iridium,Copper,Iron,Iron
Which of the following are cells of the adaptive immune system?,White blood cells,Natural killer cells,Cytotoxic T cells,Dendritic cells,Cytotoxic T cells
"In physics, conservation of energy and conservation of momentum are both consequences of which of the following?",Bell's Theorem,Carnot's Theorem,Noether's Theorem,Wick's Theorem,Noether's Theorem
"Where did the dog breed ""Chihuahua"" originate?",Spain,Russia,France,Mexico,Mexico
How many degrees Fahrenheit is 100 degrees Celsius? ,100,326,212,451,212
Which of the following spacecraft never touched the moon?,Luna 2,Mariner 4,Apollo 11,SMART-1,Mariner 4
Which of the following is a major muscle of the back?,Trapezium,Trapezoid,Trapezius,Triquetrum,Trapezius
"Which of the following plastic is commonly used for window frames, gutters and drain pipes?",Polyethylene (PE),Polyvinylchloride (PVC) ,Polypropylene (PP),Polystyrene (PS),Polyvinylchloride (PVC) 
Which of the following blood vessels carries deoxygenated blood?,Pulmonary Artery,Pulmonary Vein,Aorta,Coronary Artery,Pulmonary Artery
"What polymer is used to make CDs, safety goggles and riot shields?",Nylon,Rubber,Bakelite,Polycarbonate,Polycarbonate
What was the first organic compound to be synthesized from inorganic compounds?,Propane,Formaldehyde,Ethanol,Urea,Urea
"Which planet did the ""Viking 1"" spacecraft send surface images of, starting in 1976?",Mars,Venus,Saturn,Jupiter,Mars
Which part of the body does glaucoma affect?,Throat,Blood,Eyes,Stomach,Eyes
How long is a light-year?,501.2 Million Miles,9.461 Trillion Kilometres,105.40 Earth-years,1 AU,9.461 Trillion Kilometres
What is the atomic number of Uranium ,17,92,167,235,92
What is the standard SI unit for distance?,Foot,Angstrom,Fathom,Metre,Metre
What genetic disease is caused by having an extra Y chromosome (XYY)?,Klinefelter's Syndrome,Jacob's Syndrome,Turner's Syndrome,Down Syndrome,Jacob's Syndrome
"Which one of these is scientific term for ""Brain Freeze""?",Sphenopalatine Ganglioneuralgia,Amblyomma Americanum,Hyacinthoides Italica,Amaranthus Retroflexus,Sphenopalatine Ganglioneuralgia
What is the scientific name of the red fox?,Vulpes Vulpie,Vulpes Vulpes,Red Fox,Vulpes Redus,Vulpes Vulpes
What is an alternative name for multiple personality disorder?,Dissociative identity disorder,Body integrity identity disorder,Identity crisis,Schizophrenia,Dissociative identity disorder
Which portion of the Marijuana plant produces the psychoactive substance known as THC?,Leaves,Male Flower,Root Ball,Female Flower,Female Flower
Stars consist mainly of hydrogen and which other gas?,Helium,Nitrogen,Oxygen,Argon,Helium
Which is the longest bone in the human body? ,Fibula,Femur,Scapula,Ulna,Femur
What was the first living creature in space?,Mouse,Monkey,Dog,Fruit Flies ,Fruit Flies 
A positron is an antiparticle of a what?,Proton,Neutron,Electron,Photon,Electron
"What common name is given to the medial condition, tibial stress syndrome (MTSS)?",Shin Splints,Carpal Tunnel,Tennis Elbow,Housemaid's Knee,Shin Splints
Which constellation contains the center of the Milky Way?,Ophiuchus,Scorpius,Capricornus,Sagittarius,Sagittarius
What is the study of the cells and tissues of plants and animals?,Histology,Microbiology,Anatomy,Biochemistry,Histology
"The moons, Miranda, Ariel, Umbriel, Titania and Oberon orbit which planet?",Venus,Uranus,Jupiter,Neptune,Uranus
How many objects are equivalent to one mole?,6.002 x 10^22,6.002 x 10^23,6.022 x 10^22,6.022 x 10^23,6.022 x 10^23
Which of these two plates are best know for forming earthquakes and tsunami's? ,Divergent Plate Boundaries/Convergent/Oceanic Crust,Transform Plate Boundaries/Divergent Plate Boundaries,Convergent Plate Boundaries/Oceanic Crust,Oceanic & Continental Crust/Transform Plate Boundaries,Convergent Plate Boundaries/Oceanic Crust
What is the lowest layer of the Earth's atmosphere named?,Troposphere,Mesosphere,Stratosphere,Thermosphere,Troposphere
How many legs is it biologically impossible for a centipede to have?,74,100,50,26,100
What animal takes part in Schrödinger's most famous thought experiment?,Bat,Cat,Butterfly,Dog,Cat
What is the name of the cognitive bias wherein a person with low ability in a particular skill mistake themselves as being superior?,Dunning-Kruger effect,Meyers-Briggs effect,Freud-Hall effect,Müller-Lyer effect,Dunning-Kruger effect
Which element has the chemical symbol 'Fe'?,Gold,Tin,Silver,Iron,Iron
What is the atomic mass of Carbon?,12,14,16,10,12
What term is best associated with Sigmund Freud?,Dialectical Behavior Therapy,Psychoanalysis,Cognitive-Behavioral Therapy,Theory of Gravity,Psychoanalysis
Who discovered the Law of Gravity?,Galileo Galilei,Charles Darwin,Sir Isaac Newton,Albert Einstein,Sir Isaac Newton
About how old is Earth?,2.5 Billion Years,4.5 Billion Years,5.5 Billion Years,3.5 Billion Years,4.5 Billion Years
Which of these is NOT a part of the structure of a typical neuron?,Node of Ranvier,Myelin sheath,Islets of Langerhans,Schwann cell,Islets of Langerhans
Which chemical element has the lowest boiling point?,Helium,Hydrogen,Neon,Nitrogen,Helium
